CaseID,TransactionID,TransactionDate,AccountID,RecipientAccountID,TransactionAmount,Location,BPS_RegionCode,IsFraud,FraudType,AnalystStatus,RecommendedDecision_Seed,ReviewPriority_Seed,SLAHours_Seed,EscalationTeam_Seed,ThreatIntelFlagInt,FraudScore_Probability_Seed,RuleRiskLevel,Split
CASE-000562,TX000562,2024-11-04 8:09:02,AC00301,REC-0011,119.89,Jakarta Barat,3173,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1834,low,test
CASE-000563,TX000563,2024-11-04 8:10:32,AC00216,REC-0079,106.39,Bandung,3273,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2563,medium,train
CASE-000564,TX000564,2024-11-04 8:08:25,AC00223,REC-0123,12.04,Yogyakarta,3471,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1559,low,train
CASE-000565,TX000565,2024-11-04 8:10:17,AC00413,REC-0065,365.7,Jakarta Utara,3175,0,None,Auto-Approved,approve,P2,8,Transaction Monitoring,0,0.5575,high,train
CASE-000566,TX000566,2024-11-04 8:11:08,AC00086,REC-0243,29.38,Makassar,7371,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4335,medium,train
CASE-000567,TX000567,2024-11-04 8:07:45,AC00216,REC-0059,319.85,Palembang,1671,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.251,medium,validation
CASE-000568,TX000568,2024-11-04 8:08:40,AC00240,REC-0289,350.14,Denpasar,5171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1587,low,train
CASE-000569,TX000569,2024-11-04 8:09:51,AC00298,REC-0112,163.94,Bandung,3273,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1087,low,train
CASE-000570,TX000570,2024-11-04 8:09:49,AC00460,REC-0239,170.53,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1797,low,train
CASE-000571,TX000571,2024-11-04 8:09:49,AC00424,REC-0132,262.22,Makassar,7371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0588,low,train
CASE-000572,TX000572,2024-11-04 8:12:03,AC00434,REC-0189,41.49,Bandar Lampung,1871,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.4533,high,test
CASE-000573,TX000573,2024-11-04 8:07:28,AC00471,REC-0086,121.43,Jayapura,9471,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1816,low,train
CASE-000574,TX000574,2024-11-04 8:06:32,AC00461,REC-0059,350.46,Manado,7171,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4725,high,train
CASE-000575,TX000575,2024-11-04 8:10:04,AC00188,REC-0084,220.41,Sorong,9271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1797,low,train
CASE-000576,TX000576,2024-11-04 8:09:12,AC00013,REC-0160,33.46,Palangka Raya,6271,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1386,low,train
CASE-000577,TX000577,2024-11-04 8:10:07,AC00345,REC-0056,104.79,Palembang,1671,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2884,medium,train
CASE-000578,TX000578,2024-11-04 8:10:57,AC00013,REC-0297,246.27,Jakarta Utara,3175,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2862,medium,train
CASE-000579,TX000579,2024-11-04 8:07:15,AC00296,REC-0014,48.85,Tangerang,3603,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2487,medium,train
CASE-000580,TX000580,2024-11-04 8:07:03,AC00192,REC-0160,332.0,Palu,7271,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.5041,high,train
CASE-000581,TX000581,2024-11-04 8:09:14,AC00378,REC-0295,118.1,Banjarmasin,6371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0348,low,train
CASE-000582,TX000582,2024-11-04 8:07:12,AC00205,REC-0193,84.59,Balikpapan,6471,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.3461,medium,test
CASE-000583,TX000583,2024-11-04 8:10:41,AC00475,REC-0204,295.64,Solo,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2477,medium,train
CASE-000584,TX000584,2024-11-04 8:12:17,AC00022,REC-0102,514.33,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0682,low,train
CASE-000585,TX000585,2024-11-04 8:12:19,AC00150,REC-0039,992.17,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1929,low,train
CASE-000586,TX000586,2024-11-04 8:10:37,AC00362,REC-0125,94.59,Bekasi,3275,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2249,low,validation
CASE-000587,TX000587,2024-11-04 8:08:18,AC00170,REC-0053,80.43,Kendari,7471,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.3056,medium,validation
CASE-000588,TX000588,2024-11-04 8:08:53,AC00429,REC-0155,54.25,Bandung,3273,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2341,medium,train
CASE-000589,TX000589,2024-11-04 8:12:10,AC00418,REC-0062,178.88,Tangerang,3603,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.4209,medium,test
CASE-000590,TX000590,2024-11-04 8:06:37,AC00144,REC-0290,518.85,Samarinda,6472,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1353,low,train
CASE-000591,TX000591,2024-11-04 8:10:21,AC00449,REC-0022,10.65,Jambi,1571,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1444,low,test
CASE-000592,TX000592,2024-11-04 8:06:38,AC_UNK_004,REC-0178,198.62,Jakarta Barat,3173,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1012,low,validation
CASE-000593,TX000593,2024-11-04 8:12:13,AC00426,REC-0273,107.03,Padang,1371,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1405,low,train
CASE-000594,TX000594,2024-11-04 8:07:23,AC00039,REC-0220,139.57,Yogyakarta,3471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2137,medium,train
CASE-000595,TX000595,2024-11-04 8:08:05,AC00051,REC-RING002,312.47,Batam,2171,1,Account Takeover (ATO),Investigating,hold_for_review,P2,8,ATO Response,1,0.663,high,validation
CASE-000596,TX000596,2024-11-04 8:08:03,AC00471,REC-0260,346.11,Tangerang,3603,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2444,medium,train
CASE-000597,TX000597,2024-11-04 8:06:52,AC00039,REC-0175,138.06,Palu,7271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.082,low,validation
CASE-000598,TX000598,2024-11-04 8:09:57,AC00274,REC-0007,158.02,Kupang,5371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1153,low,validation
CASE-000599,TX000599,2024-11-04 8:11:27,AC00095,REC-0216,830.01,Jakarta Pusat,3171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.101,low,train
CASE-000600,TX000600,2024-11-04 8:09:40,AC00211,REC-0251,435.5,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1306,low,train
CASE-000601,TX000601,2024-11-04 8:12:20,AC00184,REC-0055,110.49,Mataram,5271,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2679,medium,train
CASE-000602,TX000602,2024-11-04 8:07:55,AC00436,REC-0222,329.4,Palembang,1671,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.3206,medium,train
CASE-000603,TX000603,2024-11-04 8:11:45,AC00107,REC-0186,635.4,Palembang,1671,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.5269,high,train
CASE-000604,TX000604,2024-11-04 8:09:51,AC00203,REC-0236,769.97,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4793,high,validation
CASE-000605,TX000605,2024-11-04 8:08:15,AC00398,REC-0079,175.07,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1591,low,validation
CASE-000606,TX000606,2024-11-04 8:07:15,AC00312,REC-0223,7.31,Balikpapan,6471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1085,low,train
CASE-000607,TX000607,2024-11-04 8:09:45,AC00225,REC-0091,175.15,Jakarta Timur,3172,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.3541,medium,train
CASE-000608,TX000608,2024-11-04 8:07:01,AC00150,REC-0268,32.54,Bengkulu,1771,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3462,medium,train
CASE-000609,TX000609,2024-11-04 8:11:30,AC00413,REC-0139,121.82,Tangerang,3603,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0529,low,train
CASE-000610,TX000610,2024-11-04 8:09:30,AC00479,REC-0276,56.12,Sorong,9271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1885,low,train
CASE-000611,TX000611,2024-11-04 8:08:25,AC00078,REC-0248,424.7,Padang,1371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0691,low,train
CASE-000612,TX000612,2024-11-04 8:10:34,AC00242,REC-0239,35.16,Jakarta Pusat,3171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1809,low,validation
CASE-000613,TX000613,2024-11-04 8:11:09,AC00149,REC-0224,35.73,Padang,1371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1394,low,train
CASE-000614,TX000614,2024-11-04 8:12:20,AC00084,REC-0138,3.44,Yogyakarta,3471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1062,low,train
CASE-000615,TX000615,2024-11-04 8:08:00,AC00466,REC-RING004,1342.25,Yogyakarta,3471,1,Account Takeover (ATO),Investigating,hold_for_review,P1,2,ATO Response,1,0.9148,critical,train
CASE-000616,TX000616,2024-11-04 8:11:29,AC00359,REC-0045,139.03,Denpasar,5171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0629,low,train
CASE-000617,TX000617,2024-11-04 8:07:18,AC00023,REC-0143,254.92,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2728,medium,train
CASE-000618,TX000618,2024-11-04 8:10:18,AC00366,REC-0231,115.11,Bandar Lampung,1871,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.181,low,validation
CASE-000619,TX000619,2024-11-04 8:08:40,AC00170,REC-0125,171.11,Pontianak,6171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2397,medium,validation
CASE-000620,TX000620,2024-11-04 8:08:14,AC00130,REC-0238,168.54,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1313,low,train
CASE-000621,TX000621,2024-11-04 8:08:38,AC00183,REC-0292,420.76,Padang,1371,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.084,low,validation
CASE-000622,TX000622,2024-11-04 8:08:20,AC00219,REC-0195,408.46,Mataram,5271,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3358,medium,train
CASE-000623,TX000623,2024-11-04 8:09:09,AC00354,REC-0173,1162.42,Jakarta Timur,3172,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2217,low,train
CASE-000624,TX000624,2024-11-04 8:08:32,AC00290,REC-0015,342.17,Kupang,5371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0795,low,train
CASE-000625,TX000625,2024-11-04 8:10:54,AC00425,REC-0254,580.71,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1868,low,train
CASE-000626,TX000626,2024-11-04 8:11:57,AC00370,REC-0167,821.54,Banda Aceh,1171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1617,low,validation
CASE-000627,TX000627,2024-11-04 8:08:12,AC00454,REC-0094,253.47,Banda Aceh,1171,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.3647,medium,train
CASE-000628,TX000628,2024-11-04 8:07:59,AC00403,REC-0250,22.81,Kupang,5371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1291,low,train
CASE-000629,TX000629,2024-11-04 8:07:10,AC00358,REC-0109,266.57,Malang,3573,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.229,medium,validation
CASE-000630,TX000630,2024-11-04 8:11:24,AC00296,REC-0182,374.61,Semarang,3374,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,1,0.2747,medium,train
CASE-000631,TX000631,2024-11-04 8:08:17,AC00393,REC-0133,339.35,Malang,3573,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.3753,medium,train
CASE-000632,TX000632,2024-11-04 8:07:19,AC00223,REC-0175,810.36,Kendari,7471,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.3987,medium,train
CASE-000633,TX000633,2024-11-04 8:09:03,AC00487,REC-0144,9.83,Banjarmasin,6371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0049,low,test
CASE-000634,TX000634,2024-11-04 8:11:44,AC00215,REC-0142,135.57,Malang,3573,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1266,low,validation
CASE-000635,TX000635,2024-11-04 8:07:43,AC00275,REC-0285,340.05,Jakarta Timur,3172,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0872,low,train
CASE-000636,TX000636,2024-11-04 8:08:51,AC00482,REC-0006,283.45,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,1,0.2478,medium,train
CASE-000637,TX000637,2024-11-04 8:09:12,AC00357,REC-0265,100.99,Kupang,5371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0103,low,train
CASE-000638,TX000638,2024-11-04 8:07:13,AC00026,REC-0098,90.88,Bandar Lampung,1871,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2272,medium,train
CASE-000639,TX000639,2024-11-04 8:07:15,AC00416,REC-0044,655.15,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2695,medium,train
CASE-000640,TX000640,2024-11-04 8:08:14,AC00058,REC-0124,320.55,Batam,2171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1881,low,train
CASE-000641,TX000641,2024-11-04 8:11:54,AC00170,REC-0209,41.51,Jakarta Selatan,3174,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,1,0.2976,medium,train
CASE-000642,TX000642,2024-11-04 8:12:00,AC00262,REC-0251,71.53,Solo,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1925,low,validation
CASE-000643,TX000643,2024-11-04 8:06:58,AC00032,REC-0285,467.13,Samarinda,6472,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1463,low,train
CASE-000644,TX000644,2024-11-04 8:10:13,AC00131,REC-0124,235.4,Jakarta Timur,3172,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2593,medium,train
CASE-000645,TX000645,2024-11-04 8:10:32,AC00176,REC-0244,159.32,Palangka Raya,6271,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0866,low,validation
CASE-000646,TX000646,2024-11-04 8:10:06,AC00139,REC-0252,50.83,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0914,low,train
CASE-000647,TX000647,2024-11-04 8:09:52,AC00056,REC-0230,56.89,Jakarta Utara,3175,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1104,low,train
CASE-000648,TX000648,2024-11-04 8:06:32,AC00276,REC-0009,20.22,Solo,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1317,low,train
CASE-000649,TX000649,2024-11-04 8:07:17,AC00447,REC-0048,50.4,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1791,low,validation
CASE-000650,TX000650,2024-11-04 8:08:11,AC00143,REC-0151,73.88,Denpasar,5171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0852,low,train
CASE-000651,TX000651,2024-11-04 8:07:28,AC00139,REC-0114,119.61,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2212,low,train
CASE-000652,TX000652,2024-11-04 8:11:48,AC00208,REC-RING004,1241.05,Padang,1371,1,Identity Theft,Escalated,escalate_to_investigation,P1,2,KYC Compliance,0,0.6906,high,train
CASE-000653,TX000653,2024-11-04 8:06:50,AC00426,REC-0157,116.58,Mataram,5271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1367,low,validation
CASE-000654,TX002517,2024-11-04 8:10:27,AC00423,REC-RING006,1919.11,Semarang,3374,1,Account Takeover (ATO),Investigating,hold_for_review,P2,8,ATO Response,1,0.6274,high,test
CASE-000655,TX000655,2024-11-04 8:06:47,AC00381,REC-0243,391.96,Medan,1275,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1897,low,train
CASE-000656,TX000656,2024-11-04 8:09:29,AC00458,REC-0284,156.26,Bandung,3273,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.183,low,train
CASE-000657,TX000657,2024-11-04 8:07:30,AC00014,REC-0272,427.0,Bengkulu,1771,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1533,low,train
CASE-000658,TX000658,2024-11-04 8:10:26,AC00071,REC-0177,443.68,Jakarta Barat,3173,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.4194,medium,train
CASE-000659,TX000659,2024-11-04 8:11:08,AC00054,REC-0218,101.76,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2053,low,train
CASE-000660,TX000660,2024-11-04 8:11:15,AC00182,REC-0282,67.57,Palu,7271,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2469,medium,train
CASE-000661,TX000661,2024-11-04 8:10:44,AC00257,REC-0170,326.29,Palembang,1671,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2127,medium,train
CASE-000662,TX000662,2024-11-04 8:10:48,AC00006,REC-0181,158.56,Jayapura,9471,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0946,low,train
CASE-000663,TX000663,2024-11-04 8:07:58,AC00424,REC-0233,56.02,Banjarmasin,6371,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1524,low,train
CASE-000664,TX000664,2024-11-04 8:06:33,AC00131,REC-0139,288.28,Semarang,3374,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3664,medium,test
CASE-000665,TX000665,2024-11-04 8:07:45,AC00133,REC-0157,245.67,Semarang,3374,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.173,low,validation
CASE-000666,TX000666,2024-11-04 8:10:50,AC00393,REC-0129,152.18,Denpasar,5171,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3724,medium,validation
CASE-000667,TX000667,2024-11-04 8:10:13,AC00361,REC-0119,114.35,Sorong,9271,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4546,high,train
CASE-000668,TX000668,2024-11-04 8:10:13,AC00092,REC-0062,373.27,Padang,1371,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.3471,medium,train
CASE-000669,TX000669,2024-11-04 8:07:50,AC00049,REC-0099,504.63,Semarang,3374,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4819,high,train
CASE-000670,TX000670,2024-11-04 8:07:41,AC00023,REC-0162,126.22,Banda Aceh,1171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2709,medium,train
CASE-000671,TX000671,2024-11-04 8:10:34,AC00323,REC-0062,820.15,Samarinda,6472,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1946,low,train
CASE-000672,TX000672,2024-11-04 8:09:09,AC00372,REC-0275,986.81,Jakarta Utara,3175,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.5018,high,test
CASE-000673,TX000673,2024-11-04 8:11:23,AC00497,REC-0095,8.37,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.001,low,test
CASE-000674,TX000674,2024-11-04 8:06:40,AC00130,REC-0099,197.49,Jakarta Utara,3175,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.3021,medium,train
CASE-000675,TX000675,2024-11-04 8:07:56,AC00034,REC-0111,637.97,Kupang,5371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1159,low,validation
CASE-000676,TX000676,2024-11-04 8:06:30,AC00286,REC-0248,13.52,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1037,low,validation
CASE-000677,TX000677,2024-11-04 8:10:16,AC00232,REC-0142,432.1,Pontianak,6171,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4746,medium,validation
CASE-000678,TX000678,2024-11-04 8:11:26,AC00182,REC-0269,375.17,Yogyakarta,3471,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1055,low,train
CASE-000679,TX000679,2024-11-04 8:08:38,AC00136,REC-0145,642.68,Jakarta Utara,3175,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1847,low,train
CASE-000680,TX000680,2024-11-04 8:10:39,AC00101,REC-0052,78.44,Pekanbaru,1471,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.3308,medium,validation
CASE-000681,TX000681,2024-11-04 8:08:24,AC00328,REC-0100,139.72,Banjarmasin,6371,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1154,low,validation
CASE-000682,TX000682,2024-11-04 8:09:05,AC00356,REC-0152,499.99,Pekanbaru,1471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1906,low,train
CASE-000683,TX000683,2024-11-04 8:08:57,AC00312,REC-0117,10.07,Bandar Lampung,1871,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4463,medium,validation
CASE-000684,TX000684,2024-11-04 8:06:39,AC00242,REC-0185,120.62,Mataram,5271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.082,low,train
CASE-000685,TX000685,2024-11-04 8:06:50,AC00123,REC-0092,578.49,Manado,7171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0841,low,train
CASE-000686,TX000686,2024-11-04 8:08:55,AC00071,REC-RING012,119.3,Semarang,3374,1,Account Takeover (ATO),Investigating,hold_for_review,P2,8,ATO Response,0,0.603,high,train
CASE-000687,TX000687,2024-11-04 8:06:41,AC00370,REC-0274,280.92,Jakarta Selatan,3174,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4348,medium,train
CASE-000688,TX000688,2024-11-04 8:09:11,AC00330,REC-0065,42.42,Jayapura,9471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2125,low,train
CASE-000689,TX000689,2024-11-04 8:08:06,AC00218,REC-0141,77.03,Jakarta Utara,3175,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1635,low,train
CASE-000690,TX000690,2024-11-04 8:08:22,AC00437,REC-0024,22.59,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1644,low,train
CASE-000691,TX000691,2024-11-04 8:12:09,AC00287,REC-0028,568.76,Makassar,7371,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1829,low,train
CASE-000692,TX000692,2024-11-04 8:06:38,AC00418,REC-0284,25.94,Pekanbaru,1471,0,None,Auto-Approved,approve,P2,8,Transaction Monitoring,0,0.5689,high,train
CASE-000693,TX000693,2024-11-04 8:09:59,AC00465,REC-0150,105.94,Bengkulu,1771,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1188,low,test
CASE-000694,TX000694,2024-11-04 8:07:12,AC00011,REC-RING003,733.29,Bandung,3273,1,Account Takeover (ATO),Investigating,hold_for_review,P2,8,ATO Response,1,0.7987,critical,test
CASE-000695,TX000695,2024-11-04 8:08:37,AC00432,REC-RING008,350.15,Jakarta Utara,3175,1,Account Takeover (ATO),Closed-Confirmed Fraud,block_and_freeze,P2,8,ATO Response,1,0.7143,high,test
CASE-000696,TX000696,2024-11-04 8:07:02,AC00240,REC-RING001,1151.18,Samarinda,6472,1,Identity Theft,Investigating,hold_for_review,P2,8,KYC Compliance,0,0.5954,high,train
CASE-000697,TX000697,2024-11-04 8:11:05,AC00497,REC-0294,183.67,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.117,low,train
CASE-000698,TX000698,2024-11-04 8:09:58,AC00026,REC-0146,278.27,Jakarta Barat,3173,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1509,low,train
CASE-000699,TX000699,2024-11-04 8:08:00,AC00277,REC-0241,470.3,Bogor,3271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1521,low,train
CASE-000700,TX000700,2024-11-04 8:09:09,AC00116,REC-0246,261.69,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.09,low,train
CASE-000701,TX000701,2024-11-04 8:12:08,AC00367,REC-0226,365.04,Bandung,3273,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2828,medium,train
CASE-000702,TX000702,2024-11-04 8:07:01,AC00030,REC-0175,211.1,Padang,1371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0889,low,test
CASE-000703,TX000703,2024-11-04 8:08:08,AC00111,REC-0095,21.49,Palembang,1671,0,None,Cleared,approve,P4,72,Transaction Monitoring,1,0.2292,medium,validation
CASE-000704,TX000704,2024-11-04 8:11:56,AC00220,REC-0027,63.58,Kendari,7471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1736,low,test
CASE-000705,TX000705,2024-11-04 8:06:35,AC00295,REC-0130,321.86,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1212,low,train
CASE-000706,TX000706,2024-11-04 8:07:10,AC00137,REC-0245,12.11,Solo,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0706,low,train
CASE-000707,TX000707,2024-11-04 8:10:37,AC00004,REC-0059,642.54,Batam,2171,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.3122,medium,train
CASE-000708,TX002518,2024-11-04 8:06:24,AC00442,REC-0034,210.45,Balikpapan,6471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.189,low,train
CASE-000709,TX000709,2024-11-04 8:10:49,AC00201,REC-0206,313.65,Jakarta Pusat,3171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1695,low,train
CASE-000710,TX000710,2024-11-04 8:06:26,AC00462,REC-0252,99.76,Jayapura,9471,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1912,low,test
CASE-000711,TX000711,2024-11-04 8:08:36,AC00390,REC-0038,115.32,Palembang,1671,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4947,high,train
CASE-000712,TX000712,2024-11-04 8:08:40,AC00297,REC-0296,33.61,Batam,2171,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.4325,medium,train
CASE-000713,TX000713,2024-11-04 8:06:58,AC00173,REC-0028,498.59,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0691,low,train
