TransactionID,FraudScore_Probability_Seed,PredictedRiskLevel_Seed,IsFraud,TopFeature1,TopFeature1Value,TopFeature1Contribution_Seed,TopReason1_ID,TopFeature2,TopFeature2Value,TopFeature2Contribution_Seed,TopReason2_ID,TopFeature3,TopFeature3Value,TopFeature3Contribution_Seed,TopReason3_ID
TX000735,0.262,medium,0,RecipientUniqueSendersTotal,17,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000736,0.259,medium,0,RecipientUniqueSendersTotal,15,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000737,0.4744,high,0,TransactionDuration,12.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5.0,0.08,Device dipakai oleh banyak akun
TX000738,0.9552,critical,1,AmountToBalanceRatio,0.7856,0.22,Nominal mendekati saldo akun,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,TransactionDuration,11.0,0.16,Durasi transaksi sangat cepat
TX000739,0.1345,low,0,RecipientUniqueSendersTotal,11,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000740,0.3588,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000741,0.2,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,8,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000742,0.1247,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000743,0.3895,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000744,0.2085,medium,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000745,0.1775,low,0,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000746,0.2783,medium,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000747,0.1399,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000748,0.2679,medium,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000749,0.1657,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000750,0.3927,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000751,0.0953,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000752,0.1675,low,0,TransactionDuration,29.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000753,0.2296,medium,0,RecipientUniqueSendersTotal,17,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000754,0.4262,medium,0,AmountToBalanceRatio,0.9117,0.22,Nominal mendekati saldo akun,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000755,0.7396,high,1,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,LoginAttempts,3.0,0.144,Banyak percobaan login,RecipientUniqueSendersTotal,7.0,0.12,Rekening penerima terhubung banyak pengirim
TX000756,0.3234,medium,0,TransactionAmountZScore,4.5075,0.12,Nominal transaksi outlier,RecipientUniqueSendersTotal,12,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000757,0.152,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000758,0.1164,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000759,0.391,medium,0,TransactionDuration,15.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5.0,0.08,Device dipakai oleh banyak akun
TX000760,0.1061,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000761,0.2862,medium,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000762,0.1109,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000763,0.2735,medium,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000764,0.4309,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,8.0,0.08,Device dipakai oleh banyak akun
TX000765,0.2635,medium,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,8,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000766,0.0504,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000767,0.0971,low,0,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000768,0.0811,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000769,0.303,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000770,0.137,low,0,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000771,0.2982,medium,0,TransactionDuration,16.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,11,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000772,0.129,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000773,0.7814,critical,1,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,LoginAttempts,4.0,0.192,Banyak percobaan login,RecipientUniqueSendersTotal,7.0,0.12,Rekening penerima terhubung banyak pengirim
TX000774,0.2088,low,0,RecipientUniqueSendersTotal,15,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000775,0.1753,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000776,0.3401,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000777,0.0677,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000778,0.5049,high,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6.0,0.08,Device dipakai oleh banyak akun
TX000779,0.3765,medium,0,TransactionDuration,14.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,11,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000780,0.1424,low,0,RecipientUniqueSendersTotal,14,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000781,0.0937,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000782,0.173,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000783,0.1399,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000784,0.1174,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000785,0.4153,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000786,0.4212,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5.0,0.08,Device dipakai oleh banyak akun
TX000787,0.4161,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,11,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000788,0.2499,medium,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000789,0.0679,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000790,0.1712,low,0,RecipientUniqueSendersTotal,12,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000791,0.1563,low,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000792,0.3037,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000793,0.9478,critical,1,LoginAttempts,5.0,0.24,Banyak percobaan login,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,11.0,0.12,Rekening penerima terhubung banyak pengirim
TX000794,0.3448,medium,0,LoginAttempts,3.0,0.144,Banyak percobaan login,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6.0,0.08,Device dipakai oleh banyak akun
TX000795,0.1303,low,0,RecipientUniqueSendersTotal,14,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000796,0.4119,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000797,0.1199,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000798,0.2015,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000799,0.4406,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,11,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000800,0.736,high,1,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,TransactionDuration,14.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,9.0,0.12,Rekening penerima terhubung banyak pengirim
TX000801,0.0739,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000802,0.0679,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000803,0.2636,medium,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000804,0.1845,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000805,0.2072,low,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000806,0.2825,medium,0,RecipientUniqueSendersTotal,11,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,9,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000807,0.3317,medium,0,TransactionDuration,17.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5.0,0.08,Device dipakai oleh banyak akun
TX000808,0.7439,critical,1,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,LoginAttempts,4.0,0.192,Banyak percobaan login,RecipientUniqueSendersTotal,9.0,0.12,Rekening penerima terhubung banyak pengirim
TX000809,0.087,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000810,0.1804,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000811,0.1699,low,0,TransactionDuration,19.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000812,0.0806,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000813,0.1813,low,0,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000814,0.0824,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000815,0.0793,low,0,TransactionDuration,16.0,0.16,Durasi transaksi sangat cepat,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000816,0.1828,low,0,TransactionDuration,29.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000817,0.565,high,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,TransactionDuration,28.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,10.0,0.12,Rekening penerima terhubung banyak pengirim
TX000818,0.5011,high,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,27.0,0.08,Device dipakai oleh banyak akun
TX000819,0.1818,low,0,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000820,0.1465,low,0,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX002519,0.163,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000822,0.2109,low,0,RecipientUniqueSendersTotal,14,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000823,0.0659,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000824,0.2021,medium,0,RecipientUniqueSendersTotal,12,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,8,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000825,0.1285,low,0,RecipientUniqueSendersTotal,12,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000826,0.0957,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000827,0.0958,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000828,0.1721,low,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000829,0.2854,medium,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX002520,0.4282,high,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5.0,0.08,Device dipakai oleh banyak akun
TX000831,0.1849,low,0,TransactionDuration,30.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000832,0.374,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000833,0.0668,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000834,0.0855,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000835,0.4762,high,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,8.0,0.08,Device dipakai oleh banyak akun
TX000836,0.0726,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000837,0.4068,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5.0,0.08,Device dipakai oleh banyak akun
TX000838,0.5307,high,0,LoginAttempts,4.0,0.192,Banyak percobaan login,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5.0,0.08,Device dipakai oleh banyak akun
TX000839,0.1409,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000840,0.1666,low,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000841,0.1426,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000842,0.2559,medium,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000843,0.4588,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,12,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000844,0.2527,medium,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000845,0.1783,low,0,RecipientUniqueSendersTotal,10,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000846,0.1041,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000847,0.2545,low,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000848,0.1163,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000849,0.1573,low,0,RecipientUniqueSendersTotal,5,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000850,0.1992,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000851,0.766,critical,1,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,LoginAttempts,4.0,0.192,Banyak percobaan login,RecipientUniqueSendersTotal,6.0,0.12,Rekening penerima terhubung banyak pengirim
TX000852,0.0828,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000853,0.1977,low,0,RecipientUniqueSendersTotal,7,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000854,0.1758,low,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000855,0.102,low,0,RecipientUniqueSendersTotal,8,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000856,0.6953,high,1,AmountToBalanceRatio,2.0249,0.22,Nominal mendekati saldo akun,TransactionAmountZScore,2.676,0.12,Nominal transaksi outlier,RecipientUniqueSendersTotal,6.0,0.12,Rekening penerima terhubung banyak pengirim
TX000857,0.1834,low,0,RecipientUniqueSendersTotal,13,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000858,0.1856,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,7,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000859,0.2466,medium,0,TransactionDuration,14.0,0.16,Durasi transaksi sangat cepat,RecipientUniqueSendersTotal,6,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan
TX000860,0.4317,medium,0,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,8.0,0.08,Device dipakai oleh banyak akun
TX000861,0.1504,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,6,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000862,0.2189,medium,0,RecipientUniqueSendersTotal,11,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,8,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
TX000863,0.0935,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,,,0.0,Tidak ada faktor tambahan,,,0.0,Tidak ada faktor tambahan
TX000864,0.7371,high,1,ThreatIntel_Flag,True,0.2,IP atau device ada di threat intelligence,TransactionAmountZScore,2.8915,0.12,Nominal transaksi outlier,RecipientUniqueSendersTotal,12.0,0.12,Rekening penerima terhubung banyak pengirim
TX000865,0.1577,low,0,RecipientUniqueSendersTotal,9,0.12,Rekening penerima terhubung banyak pengirim,DeviceUniqueAccountsTotal,5,0.08,Device dipakai oleh banyak akun,,,0.0,Tidak ada faktor tambahan
